,Date,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
550,2014-05-18,Peercoin,PPC,3.156811219520264e-05,2.9060550527573378e-05,3.587092457790156e-08,0.6125902527075813,-0.95,0.009511850469264496
551,2014-05-18,Nxt,NXT,2.776238966369437e-05,5.473593458719717e-07,1.6964896977965673e-06,0.6013086642599278,-8.98,0.012750699934848831
552,2014-05-18,Dogecoin,DOGE,2.496691710207796e-05,6.220626591100165e-09,0.000132872799106272,0.6123646209386282,-0.98,0.009356676233910302
553,2014-05-18,Dash,DASH,1.9489312041824653e-05,8.943598344448462e-05,6.834193739060188e-09,0.6696750902527075,36.99,0.025333019316440983
554,2014-05-18,Namecoin,NMC,1.2343189175065698e-05,2.7754014271453725e-05,1.4460850386240302e-08,0.5986010830324909,-1.89,0.009202602525047983
555,2014-05-18,Omni,OMNI,1.026210355236674e-05,0.00032789567254155053,5.867609256438948e-10,0.5767148014440433,-5.57,0.006819962670141396
556,2014-05-18,BlackCoin,BLK,4.424369806594838e-06,1.1850667953449663e-06,1.2602237995771182e-07,0.5893501805054152,14.13,0.0064677941927418076
557,2014-05-25,Bitcoin,BTC,0.005220738392396448,0.008012908286326899,2.1283462379764354e-08,0.6177797833935018,8.75,0.012638446232677713
558,2014-05-25,Litecoin,LTC,0.0002355849668427332,0.00016163472836151728,4.820882149233968e-08,0.6162003610108303,3.6,0.010792863305805497
559,2014-05-25,Dash,DASH,4.657621301197605e-05,0.00021210179404854257,6.87608317328135e-09,0.615297833935018,25.1,0.02514152770685496
560,2014-05-25,Peercoin,PPC,3.695732983057645e-05,3.3985295020865594e-05,3.589876149420555e-08,0.6096570397111913,5.28,0.011399253402827913
561,2014-05-25,Nxt,NXT,2.9062955977235995e-05,5.728732513026344e-07,1.6964896977965673e-06,0.6134927797833936,6.65,0.010031298973428889
562,2014-05-25,Dogecoin,DOGE,2.399039101278608e-05,5.8911888011987496e-09,0.00013473269316239894,0.6504963898916968,-0.81,0.008948380905425156
563,2014-05-25,XRP,XRP,2.02452997058384e-05,5.1043792098793116e-08,1.3266174389337374e-05,0.6532039711191335,-11.33,0.005219797150957018
564,2014-05-25,Namecoin,NMC,1.7085064186484036e-05,3.773668023693447e-05,1.470660060236508e-08,0.631768953068592,6.12,0.013353788452395626
565,2014-05-25,Omni,OMNI,1.2529984954305304e-05,0.0003999514274391366,5.867609256438948e-10,0.6177797833935018,16.56,0.011814151890264302
566,2014-05-25,BlackCoin,BLK,8.131848461065648e-06,2.1630063793246557e-06,1.260331997686332e-07,0.6139440433212996,-0.77,0.01804203130777764
567,2014-06-01,Bitcoin,BTC,0.005768632209080665,0.00883496071185111,2.1329831785885207e-08,0.5679151624548736,1.22,0.010617879593597578
568,2014-06-01,Litecoin,LTC,0.00022934198975998408,0.00015616746291208954,4.8574346472337176e-08,0.6004061371841155,1.8,0.00913326935605994
569,2014-06-01,Nxt,NXT,4.070317756358528e-05,8.019376550042991e-07,1.6964896977965673e-06,0.5900270758122743,9.78,0.014050421721751687
570,2014-06-01,Dash,DASH,3.999352583684388e-05,0.0001812608094620271,6.913195667768561e-09,0.49345667870036103,14.02,0.008207726576394146
571,2014-06-01,Peercoin,PPC,3.0800489902280516e-05,2.831055385694675e-05,3.5928346278334034e-08,0.592283393501805,-0.47,0.007624447535701079
572,2014-06-01,Dogecoin,DOGE,2.303292986783676e-05,5.577171503590593e-09,0.00013659554823558946,0.5740072202166064,19.03,0.009104655667271222
573,2014-06-01,XRP,XRP,2.2731729926187103e-05,5.729610079224125e-08,1.3266174389337374e-05,0.5974729241877257,-1.02,0.010929328590797838
574,2014-06-01,Namecoin,NMC,1.4440616914748856e-05,3.2018481322007354e-05,1.465905520362056e-08,0.5823555956678701,-3.29,0.00785005546653519
575,2014-06-01,BlackCoin,BLK,1.0809957608343747e-05,2.86954529894301e-06,1.260332540713229e-07,0.5604693140794224,-16.23,0.013583798489197232
576,2014-06-01,Omni,OMNI,7.309333540122711e-06,0.00023425122843340367,5.867609256438948e-10,0.5674638989169675,-27.89,0.004955670792907326
577,2014-06-08,Bitcoin,BTC,0.006019050085235871,0.009198183398504117,2.1377898151058974e-08,0.6137184115523465,0.14,0.00978257998626543
578,2014-06-08,Litecoin,LTC,0.0002337961715267474,0.00015798988472856546,4.8939277516666154e-08,0.6168772563176895,1.28,0.009486538359951401
579,2014-06-08,Nxt,NXT,4.599773640443222e-05,9.059558848370014e-07,1.6964896977965673e-06,0.6301895306859205,-14.83,0.010868799633744784
580,2014-06-08,Dash,DASH,2.9497087121077668e-05,0.00013316008841054902,6.946233763569727e-09,0.7497743682310469,-9.34,0.00643587892447747
581,2014-06-08,Peercoin,PPC,2.8238008662047414e-05,2.5940003632592317e-05,3.595695361404805e-08,0.6055956678700362,11.58,0.008511471888151292
582,2014-06-08,XRP,XRP,2.207788727646402e-05,5.564190252805542e-08,1.3266174389337374e-05,0.6110108303249098,0.26,0.009169586730291772
583,2014-06-08,Dogecoin,DOGE,2.0848379136055122e-05,4.974370441217791e-09,0.00013846283788363108,0.6128158844765343,-1.54,0.00813179024845486
